url,text
https://pubmed.ncbi.nlm.nih.gov/29766633,"{'section_0': {'bold_text': 'Aims:', 'content_text': 'This phase 2, double-blind, randomized, placebo-controlled trial (ClinicalTrials.gov NCT02702011) with 4 sites in Japan investigated the pharmacodynamics (PD), pharmacokinetics (PK) and safety profile of empagliflozin in Japanese participants with type 1 diabetes mellitus (T1DM) as adjunctive therapy to insulin.'}}"
https://pubmed.ncbi.nlm.nih.gov/29766633,"{'section_1': {'bold_text': 'Materials and methods:', 'content_text': 'Participants using multiple daily injections of insulin for ≥12 months, with HbA1c of 7.5%-10.0%, entered a 2-week, open-label, placebo run-in period, followed by a 4-week, double-blind period during which participants were randomized 1:1:1:1 to receive empagliflozin 2.5 mg (n = 13), empagliflozin 10 mg (n = 12), empagliflozin 25 mg (n = 12) or placebo (n = 11). The primary objective was to assess the effect of empagliflozin vs placebo on urinary glucose excretion (UGE) after 7 days of treatment.'}}"
https://pubmed.ncbi.nlm.nih.gov/29766633,"{'section_2': {'bold_text': 'Results:', 'content_text': 'PD: Empagliflozin resulted in a dose-dependent significant increase in 24-hour UGE compared with placebo (UGE placebo-corrected mean [95% confidence interval] change from baseline: 2.5 mg, 65.10 [43.29, 86.90] g/24 h; 10 mg, 81.19 [58.80, 103.58] g/24 h; 25 mg, 98.11 [75.91, 120.31] g/24 h). After 4 weeks of treatment, UGE increase was associated with improved glycaemic control, reduced body weight and decreased insulin needs. Empagliflozin treatment also resulted in dose-dependent increases in serum ketone bodies and free fatty acids. PK: Plasma empagliflozin levels increased in a dose-dependent manner and peaked at 1.5 hours. In this short study, empagliflozin was well tolerated, with no increase in rate of hypoglycaemia and no diabetic ketoacidosis events reported.'}}"
https://pubmed.ncbi.nlm.nih.gov/29766633,"{'section_3': {'bold_text': 'Conclusions:', 'content_text': 'Based on this short-duration phase 2 study, the PK/PD profile of empagliflozin in Japanese participants with T1DM is comparable to that of non-Japanese participants.'}}"
https://pubmed.ncbi.nlm.nih.gov/29773516,"{'section_0': {'bold_text': 'Background:', 'content_text': 'Podoconiosis (also known as endemic, non-filarial elephantiasis) affects about 4 million subsistence farmers in tropical Africa. Poor awareness of the condition and inadequate evidence for the efficacy of treatment mean that no government in an endemic country yet offers lymphoedema management for patients with podoconiosis. Among patients with filarial lymphoedema, trials suggest that limb care is effective in reducing the most disabling sequelae: episodes of acute dermatolymphangioadenitis. We aimed to test the hypothesis that a simple, inexpensive lymphoedema management package would reduce the incidence of acute dermatolymphangioadenitis in adult patients with podoconiosis in northern Ethiopia.'}}"
https://pubmed.ncbi.nlm.nih.gov/29773516,"{'section_1': {'bold_text': 'Methods:', 'content_text': 'We did a pragmatic randomised controlled trial at health posts and health centres in 18 sub-districts of Aneded woreda (district) in Amhara, northern Ethiopia. Participants were adults aged 18 years and older, had a diagnosis of at least stage 2 podoconiosis (persistent lymphoedema) and a negative antigen test for filariasis, and intended to remain within Aneded woreda for the duration of the trial. Patients were randomly assigned (1:1) to either receive a package containing instructions for foot hygiene, skin care, bandaging, exercises, and use of socks and shoes, with support by lay Community Podoconiosis Agents at monthly meetings (intervention group) or to receive no intervention (control group). Participants were aware of their group assignment, but researchers doing all analyses were masked to treatment group. The primary outcome was incidence of acute dermatolymphangioadenitis episodes in the total period of observation of each participant, measured by use of validated patient self-reported pictorial diaries. This trial was registered with the International Standard Randomised Controlled Trials Number Register, number ISRCTN67805210.'}}"
https://pubmed.ncbi.nlm.nih.gov/29773516,"{'section_2': {'bold_text': 'Findings:', 'content_text': 'Between Dec 1, 2014, and June 30, 2015, 1339 patients were screened, and 696 patients were enrolled and randomly allocated to treatment groups. We allocated 350 patients to the intervention group and 346 patients to the control group. 321 (92%) patients from the intervention group and 329 (95%) patients from the control group provided follow-up results at 12 months. During the 12 months of follow-up, 16 550 new episodes of acute dermatolymphangioadenitis occurred during 765·2 person-years. The incidence of acute dermatolymphangioadenitis was 19·4 episodes per person-year (95% CI 18·9-19·9) in the intervention group and 23·9 episodes per person-year (23·4-24·4) in the control group. The ratio of incidence rate in the intervention group to that of the control group was 0·81 (0·74 to 0·89; p<0·0001), with a rate difference of -4·5 (-5·1 to -3·8) episodes per person-year. No serious adverse events related to the intervention were reported.'}}"
https://pubmed.ncbi.nlm.nih.gov/29773516,"{'section_3': {'bold_text': 'Interpretation:', 'content_text': 'A simple, inexpensive package of lymphoedema self-care is effective in reducing the frequency and duration of acute dermatolymphangioadenitis. We recommend its implementation by the governments of endemic countries.'}}"
https://pubmed.ncbi.nlm.nih.gov/29773516,"{'section_4': {'bold_text': 'Funding:', 'content_text': 'Joint Global Health Trials scheme (from the Wellcome Trust, the UK Medical Research Council, and UK Aid).'}}"
https://pubmed.ncbi.nlm.nih.gov/29779700,"{'section_0': {'bold_text': '', 'content_text': 'Despite substantial declines in mortality following myocardial infarction (MI), subsequent left ventricular remodeling (LVRm) remains a significant long-term complication. Extracellular small non-coding RNAs (exRNAs) have been associated with cardiac inflammation and fibrosis and we hypothesized that they are associated with post-MI LVRm phenotypes. RNA sequencing of exRNAs was performed on plasma samples from patients with ""beneficial"" (decrease LVESVI ≥ 20%, n = 11) and ""adverse"" (increase LVESVI ≥ 15%, n = 11) LVRm. Selected differentially expressed exRNAs were validated by RT-qPCR (n = 331) and analyzed for their association with LVRm determined by cardiac MRI. Principal components of exRNAs were associated with LVRm phenotypes post-MI; specifically, LV mass, LV ejection fraction, LV end systolic volume index, and fibrosis. We then investigated the temporal regulation and cellular origin of exRNAs in murine and cell models and found that: 1) plasma and tissue miRNA expression was temporally regulated; 2) the majority of the miRNAs were increased acutely in tissue and at sub-acute or chronic time-points in plasma; 3) miRNA expression was cell-specific; and 4) cardiomyocytes release a subset of the identified miRNAs packaged in exosomes into culture media in response to hypoxia/reoxygenation. In conclusion, we find that plasma exRNAs are temporally regulated and are associated with measures of post-MI LVRm.'}}"
